NP01-PS-001	このヒディオでは一番大事なことばセルフプロテェクション。 
NP01-PS-002	この人は自分でじぶんのものをなくなってしまいました。
NP01-PS-003	なぜと言うともしこの人が気をつけたらものがなくならないと思います。
NP01-PS-004	この人はさいごにこどもたちが ものを取ったと思っていました。
NP01-PS-005	でもものを取るのは自転車で来た子でした。
NP01-PS-006	もし、この人は自分のものの気をつけたらものをなくならないと思います。
NP01-PS-007	一番最初にやぎが持っている人をとおったらくたものとる人はとおる人はなにもやってないと思っていました。
NP01-PS-008	ほかの人とおるときもこの人なにもやらないと思自分のしごとをつづいていましたけど自転車で行って人はものを取って行きました。
NP01-PS-009	そのあと自転車で行く人はちょっと前まて行って自転車でおちてそしてものもぜんぶおちてしまった。
NP01-PS-010	おちたら、そこで 三人子があそんでいる。
NP01-PS-011	子たちは自転車がある人にてつだってあげました。
