NP05-PS-001	男生が木からくだものをとってアプロンに入れていました。
NP05-PS-002	そのとったくだものをはこみたいな物にほうぞんをしていました。
NP05-PS-003	その時あと1人の男生がどう物を持って道を通りました。
NP05-PS-004	5分～6分＊男子がじてんしゃにはして来てそのはこにほうぞんしたくたものを見つけました。
NP05-PS-005	男子が一つを取だけとろとしていったがちっとなやんではこのくだものをじらんぶ持ってそのばからはしりました。
NP05-PS-006	はしっていた時にくだものも一つぐらいが＊ました。
NP05-PS-007	はしていたらはんたいがはから女子もじてんしゃに走って来たことを見つけてかれのしゅうちがそこに行ったがついにかれのしゅうちがそこに行ってしまっていしにぶつかってころんでしまいました。
NP05-PS-008	またその度三人男子が道を通っていましたからかれたちが気＊たから助けてくれました。
NP05-PS-009	たすけたらそのままかえていたときちっと前ぼうしが落っていたことを気になってくだ物をとってはした男子のと思ってかえしました。
NP05-PS-010	かれもなんにも言われないで自分の物だと分りしてみつかってありがたい気持で三つくだものをおみやげとしてあげました。
NP05-PS-011	三人男子がもらったくだものを食べながらあるいて行ってそのくだものをとっている本人の前で道を通ることになりました。
NP05-PS-012	本人がびっくりして見ることしかできませんでした。
