NP07-PS-001	ぼうしをかぶって、あかマフラーをしめた男の人が本からなしを取っています。
NP07-PS-002	それから取ったなしをかごにおくために、本（木）から おします。
NP07-PS-003	取ったなしをかごにおいて、おちたなし を自分のマフラーでふいてかごにおきます。
NP07-PS-004	そしてまたなしを取るために本のります。
NP07-PS-005	そのとき、一人男がやぎといっしょうになし取っているところからあるきます。
NP07-PS-006	そのあと、とおいからじてんしゃのおとがでます。
NP07-PS-007	八ー十さいごろの男の子がじてんしゃをのって、そのなしのところに来ます。
NP07-PS-008	なしを見たらその男の子が、じてんしゃを止めて、なしを取っている人にきかずにかごからとります。
NP07-PS-009	一ー二だけではなく、一はこすべてのなしが自分のじてんしゃにのって、自分ものります。
NP07-PS-010	なしをむすんだ子がなしをもってかえる時、別のじてんしゃをのっている女の子にすれ違います。
NP07-PS-011	男の子が女の子にみた時に男の子のぼうしをとびます。
NP07-PS-012	女の子の見て、ぼうしをとんだところに、男の子道にあったいしにぶつかって、じてんしゃからころびます。
NP07-PS-013	ころんだ時、 むすんだなしもすべてかごからでます。
NP07-PS-014	それから、ちかくにあそんでいる三人おなじごろのともだちからてつだってもらいます。
NP07-PS-015	なしもぜんぶひろいてもらいます。
NP07-PS-016	あと三人かえる時、先ころんだ前にとんだあの男の子のぼうしを道からひろいて、あの男の子にかえします。
NP07-PS-017	ぼうしをもらった子がぼうしをかえしたかわりに1コずつなしをあげます。
NP07-PS-018	また、なしを取っている人がなしをおくために本からおります。
NP07-PS-019	おりたあとに、先おいた一はこのなしをなくなったことを気づきます。
NP07-PS-020	どうやってなくなったのことをびっくりしているところに、三人男の子がさっきあの子からもらったなしをたべながらこの人の前からあるきます。
NP07-PS-021	とった人がこの3人に何もいわずに、なしむすんだ子と思ってしまってこの三人に見ます。
