NP08-PS-001	四十だいのだんせいがくだものを取っています。
NP08-PS-002	とったくだものをかごの中に入れます。
NP08-PS-003	またくだものをとりに 木にのぼります。 
NP08-PS-004	四十だいのだんせいはくだものをとることにむちゅうです。
NP08-PS-005	三十代のだんせいがくだものの木をとおります。
NP08-PS-006	まだ四十だいのだんせいはくだものをとっています。
NP08-PS-007	十さいぐらいのこどもがじてんしゃでくだものの木に近すきます。
NP08-PS-008	じてんしゃをとめて、くだものをとっているだんせいを見て、くだものがはいているかごをじてんしゃにのせます。
NP08-PS-009	じてんしゃにのってかえります。
NP08-PS-010	かえっているとちゅうでわかいおんなのこが見えます。
NP08-PS-011	おとこの子はそのおんなの子をみりょくてきにかんじ、きをとられます。
NP08-PS-012	おとこの子はじてんしゃをいしにぶつけて、ころびます。
NP08-PS-013	ぬすんだくだものがぜんぶみちにちらばります。
NP08-PS-014	ちかくにあそんでいたこどもたちがそれを見て、おとこの子をてつだってあげます。
NP08-PS-015	おとこのこはじてんしゃをのってかえります。
NP08-PS-016	三人の子どもたちのうちに一人がおちていたぼうしをひろいます。
NP08-PS-017	じてんしゃをのっているおとこの子にあいずをし、ほうしをかえします。
NP08-PS-018	おとこの子はおれいとして三人にくだものをあげます。
NP08-PS-019	三人の男の子はもらったくだものをたべながらみちへ進みます。
NP08-PS-020	くだものをとっていた四十代の男は木をおります。
NP08-PS-021	三人のこどもがくだものをたべながら四十代の男の前をとおります。
NP08-PS-022	それを見て四十代のおとこはふしぎに思います。 
